age,nzw_13C ,nzw_18O
13729,-6.97,-3
13737,-8.13,-3.12
13766,-8.36,-3.11
13795,-6.82,-2.32
13825,-7.16,-2.53
13854,-7.56,-2.68
13854,-6.74,-3.06
13870,-7.2,-2.88
13883,-8.04,-2.97
13889,-7.19,-2.88
13913,-7.17,-2.79
13942,-7.43,-2.65
13971,-7.96,-2.87
13980,-7.27,-3.41
13982,-7.86,-2.74
14001,-7.3,-2.67
14030,-7.7,-2.79
14060,-8.04,-2.81
14082,-4.95,-2.07
14083,-6.75,-2.41
14089,-6.43,-2.31
14106,-5.65,-2.85
14122,-6.48,-2.29
14154,-6.61,-2.57
14186,-6.9,-2.76
14218,-6.5,-2.64
14250,-7.06,-2.35
14282,-6.87,-2.76
14284,-6.84,-2.57
14314,-5.91,-2.36
14347,-6.32,-2.28
14379,-6.87,-2.69
14411,-6.92,-2.75
14443,-6.48,-2.5
14475,-6.07,-2.51
14496,-6.06,-2.36
14507,-6.82,-2.79
14540,-6.41,-2.43
14572,-7.22,-2.62
14604,-7.96,-3.04
14636,-7.77,-3.1
14668,-6.42,-2.35
14700,-5.96,-2.24
14718,-6.98,-2.64
14732,-5.84,-2.28
14765,-6.19,-2.2
14797,-7,-2.59
14816,-6.79,-2.65
14824,-6.65,-2.69
14846,-7.79,-2.87
14867,-6.79,-2.71
14888,-7.06,-2.86
14909,-6.43,-2.64
