depth_dome,age_dome,deuterium_dome,temp_dome,depth_vos,age_vos,deiterium_vos,deltaTS,age_composite,CO2_composite
78.65,1812.36,-392.6,0.55,120,4357.77,-431.2,1.13,5852.26,265.5
79.2,1829.26,-404.4,-1.41,121,4400.09,-431.2,1.13,5934.09,260.7
79.75,1846.63,-394.4,0.25,122,4442.41,-431.2,1.13,5999.38,266.7
80.3,1864,-402.2,-1.04,123,4484.85,-431.2,1.13,6089.81,265.5
80.85,1881.37,-401.9,-0.99,124,4527.29,-431.2,1.13,6301.96,263.2
81.4,1897.82,-393.8,0.35,125,4570.29,-432.7,0.88,6337.21,262.7
81.95,1914.28,-402.3,-1.06,126,4613.28,-436.8,0.2,6401.24,261.2
82.5,1930.73,-385.1,1.79,127,4660.34,-440,-0.33,6572.29,261.1
83.05,1947.4,-395.9,0,128,4707.39,-443.3,-0.88,6682.55,259.4
83.6,1964.07,-395.8,0.01,129,4757.21,-441.5,-0.58,6769.65,262.1
84.15,1980.74,-398.2,-0.38,130,4807.04,-436.5,0.25,6880.31,262.9
84.7,1997.77,-394.8,0.18,131,4853.62,-438,0,6970.08,258.1
85.25,2014.81,-397.7,-0.3,132,4900.21,-444.9,-1.14,7038.27,257.6
85.8,2031.85,-400.3,-0.73,133,4950.99,-442,-0.66,7188.07,262.3
86.35,2049.55,-402.4,-1.08,134,5001.78,-440.2,-0.36,7274.01,263
86.9,2067.26,-396,-0.02,135,5051.08,-442,-0.66,7405.32,260.7
87.45,2084.97,-401.4,-0.92,136,5100.38,-437.2,0.13,7497.87,258.4
88,2102.19,-386.1,1.62,137,5147.15,-436.9,0.18,7661.37,260.1
88.55,2119.42,-400.1,-0.7,138,5193.92,-440.3,-0.38,7719.59,260.4
89.1,2136.64,-400.3,-0.74,139,5242.54,-439.3,-0.22,7860.18,259.7
89.65,2153.99,-393.2,0.44,140,5291.16,-436.3,0.28,7926.37,259.2
90.2,2171.34,-399.7,-0.64,141,5337.97,-437.4,0.1,7975.85,260.8
90.75,2188.7,-397.9,-0.34,142,5384.79,-437.5,0.08,8116.28,259.6
91.3,2206.98,-402,-1.02,143,5431.28,-435,0.5,8194.8,259.3
91.85,2225.27,-398.7,-0.48,144,5477.77,-435,0.5,8351.88,258.3
92.4,2243.55,-398.6,-0.46,145,5524.13,-436.8,0.2,8459.68,261.3
93.5,2277.53,-390.6,0.2,146,5570.49,-437.9,0.02,8546.58,260.7
94.05,2294.52,-394,0.86,147,5618.09,-437.5,0.08,8710.68,261.8
94.6,2312,-397.9,0.3,148,5665.69,-437.8,0.03,8781.28,259
95.15,2329.47,-394.8,-0.35,149,5713.6,-438.37,-0.06,8911.85,260.9
