depth;age;influx
153.5;1142;5.386237514
154.5;1151;1.910299003
155.5;1160;3.401766004
156.5;1169;2.406387665
157.5;1178;2.600439078
158.5;1187;1.461117196
159.5;1197;2.636462882
160.5;1206;4.179542982
161.5;1215;2.597176982
162.5;1224;3.385281385
163.5;1233;3.42394822
164.5;1243;3.193756728
165.5;1252;2.467811159
166.5;1261;3.05026738
167.5;1271;3.657417289
168.5;1280;5.554255319
169.5;1289;5.268292683
170.5;1299;5.446088795
171.5;1308;4.895679663
172.5;1318;2.44012605
173.5;1327;5.352201258
174.5;1337;4.037617555
175.5;1347;6.804166667
176.5;1356;10.58047767
177.5;1366;3.785714286
178.5;1375;5.862745098
179.5;1385;4.495884774
180.5;1395;6.062564103
181.5;1405;4.585889571
182.5;1414;4.173292559
183.5;1424;6.240853659
184.5;1434;7.223910841
185.5;1444;7.705348133
186.5;1454;10.22736419
187.5;1464;6.413239719
188.5;1474;6.762
189.5;1484;3.347956132
190.5;1494;3.266137041
191.5;1504;3.005940594
192.5;1514;5.857847976
193.5;1524;4.369094488
194.5;1534;4.62254902
195.5;1545;3.237536657
196.5;1555;2.308966862
197.5;1565;2.791262136
198.5;1575;5.143272023
199.5;1586;6.143683703
200.5;1596;2.875
201.5;1607;4.075670498
202.5;1617;4.744985673
203.5;1627;7.681255947
204.5;1638;7.179316888
205.5;1648;2.913043478
206.5;1659;7.673892554
207.5;1670;5.075117371
208.5;1680;10.42322097
209.5;1691;3.92630597
210.5;1702;5.348837209
211.5;1713;3.648423006
212.5;1723;6.292051756
213.5;1734;15.7078341
214.5;1745;33.2855831
215.5;1756;29.36080586
216.5;1767;6.994520548
217.5;1778;7.918032787
218.5;1789;8.22323049
219.5;1800;5.994570136
220.5;1811;7.722021661
221.5;1822;3.99549955
222.5;1833;5.657091562
223.5;1844;6.321396598
224.5;1855;6.817857143
225.5;1867;4.690115761
226.5;1878;4.698046181
227.5;1889;12.42692648
228.5;1900;8.96024735
229.5;1912;4.275770925
230.5;1923;2.425307557
231.5;1934;4.011393514
232.5;1946;7.163604549
233.5;1957;4.094240838
234.5;1969;3.382941688
235.5;1980;1.417534722
236.5;1992;5.082322357
237.5;2003;5.28781331
238.5;2015;3.390517241
239.5;2027;4.255593804
240.5;2038;2.586266094
241.5;2050;10.05141388
242.5;2062;13.36752137
243.5;2073;3.610921502
244.5;2085;2.466382979
245.5;2097;2.794392523
246.5;2108;2.202542373
247.5;2120;2.082064298
248.5;2132;2.175675676
249.5;2144;2.712721146
250.5;2156;2.556560135
251.5;2168;2.775083963
252.5;2180;4.42864627
253.5;2192;7.261705686
254.5;2204;6.484348915
255.5;2216;4.483229167
256.5;2228;7.205386855
257.5;2240;12.84395764
258.5;2252;26.90557629
259.5;2264;5.771626656
260.5;2276;7.357128099
261.5;2288;1.492883663
262.5;2300;5.226420923
263.5;2312;8.848478618
264.5;2324;5.744047619
265.5;2336;4.449282787
266.5;2349;4.761773137
267.5;2361;5.483851186
268.5;2373;7.168571429
269.5;2385;6.154136104
270.5;2398;5.579397394
271.5;2410;4.334654472
272.5;2422;14.54941153
273.5;2435;10.58525953
274.5;2447;7.989574899
275.5;2459;6.655845469
276.5;2472;4.014337641
277.5;2484;8.10008071
278.5;2496;9.136784851
279.5;2509;4.098530596
280.5;2521;5.410671222
281.5;2534;3.991767068
282.5;2546;4.643143545
283.5;2559;4.291466346
284.5;2571;4.712970376
285.5;2584;3.5126
286.5;2596;3.275758786
287.5;2609;1.347765363
288.5;2621;3.770733652
289.5;2634;3.037250996
290.5;2646;4.510242641
291.5;2659;4.065580286
292.5;2671;5.422855441
293.5;2684;7.065178571
294.5;2697;11.31695721
295.5;2709;2.425870942
296.5;2722;10.45925633
297.5;2735;4.039889415
298.5;2747;3.560674822
299.5;2760;5.137026814
300.5;2773;3.992316785
301.5;2785;10.1359166
302.5;2798;5.177771226
303.5;2811;20.03152003
304.5;2823;2.423861852
305.5;2836;2.590223354
306.5;2849;6.291014096
307.5;2862;2.982589984
308.5;2874;2.338936669
309.5;2887;3.615925059
310.5;2900;7.395573323
311.5;2913;8.40520265
312.5;2926;5.542737539
313.5;2939;3.676905132
314.5;2951;2.90549728
315.5;2964;2.99689441
316.5;2977;4.061384794
317.5;2990;3.43841983
318.5;3003;3.753192724
319.5;3016;3.339810518
320.5;3029;3.803323029
321.5;3042;1.991801698
