Andreaea sp.,B.mossmaniana,B.pendula,B.affinis,B.rutabulum/paradoxum,Briaceae,B.rutabulum/paradoxum,C.nitens,D.microcarpum,Dicranoloma sp.,Dicranaceae,D.cylindricarpum/difficile,Fissidens sp.,Entosthodon sp.,Grimiaceae,Hypnum sp.,H.comosum,H.didictyon,A.chlamydophyllum,Camptochaete,Weymouthia sp.,L.inclinans,Campylopus sp.,T.pumilum,Orthotrichaceae,P.grandiglobum,Tortula,W.extenuata,P.acicularis,H.alaris ,R.purpurascens,R.novaehollandiae,Pyrrhobryum sp.,B.robusta,Sphagnum sp.,T.furfurosa,Leptoscyphus sp.,P. juniperinum,C.exiliflora
0,0,23,0,0,0,0,0,2,0,0,0,33,0,10,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,2,3,0,3,0,2,0,0
0,0,22,0,0,1,0,0,10,2,0,0,25,0,0,2,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,3,0,7,1,1,0,0
1,0,23,0,0,8,0,0,26,2,0,0,163,0,0,24,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,3,0,27,39,5,0,0
1,0,6,0,0,0,0,0,2,0,0,0,27,0,0,6,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,9,1,0,0,0
0,0,11,0,0,0,0,0,2,2,0,0,18,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,0,0,0
0,3,15,0,0,1,0,0,9,0,0,0,52,0,0,3,2,0,0,0,0,0,0,0,4,0,0,0,0,0,1,0,3,0,10,0,0,0,0
0,0,5,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,1,0,0,0,0
0,0,25,0,0,3,0,0,4,0,0,0,24,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0
0,5,9,0,0,0,0,0,2,2,0,0,54,0,1,2,1,0,0,0,3,0,0,0,4,0,0,0,0,1,1,0,4,0,22,4,1,0,0
0,0,20,0,0,6,0,0,3,0,0,0,32,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,3,0,1,0,0,0,0
0,0,17,0,0,3,0,0,0,2,0,0,28,0,2,0,3,0,0,0,0,2,3,0,0,0,0,0,0,0,2,0,4,0,1,1,0,0,0
0,0,23,0,0,0,0,0,5,0,0,0,38,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0
0,5,28,0,0,1,0,0,6,2,0,0,32,0,0,1,3,0,0,3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0
0,0,19,0,0,5,0,0,3,0,0,0,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,3,0,0,0,0
0,0,6,0,0,2,0,0,0,2,0,0,19,0,0,0,1,0,0,0,0,0,3,0,5,0,0,0,0,0,0,0,3,0,12,1,0,0,0
8,17,11,0,0,0,0,0,0,2,0,0,41,0,0,2,7,1,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,23,0,0,0,0
0,0,10,0,0,0,0,0,2,3,0,0,316,0,0,0,3,0,0,0,10,0,0,0,0,0,0,0,1,0,0,0,1,0,58,112,6,0,0
0,0,9,0,0,1,0,0,0,0,0,0,22,0,0,0,10,0,0,0,0,0,0,3,0,0,0,0,0,0,3,0,3,0,3,85,0,0,0
0,0,12,0,0,1,0,0,0,1,1,0,6,0,2,0,4,0,0,0,0,0,0,0,0,0,0,69,0,0,0,0,2,0,0,1,0,2,0
0,0,16,0,0,0,0,0,0,2,0,0,10,0,0,5,1,0,0,0,0,0,3,0,1,0,0,0,0,0,1,0,1,0,2,1,0,0,0
0,0,26,2,0,2,0,0,1,3,0,0,32,0,0,2,3,1,0,0,0,0,1,0,1,0,0,0,0,0,1,0,1,0,27,0,0,0,0
0,0,29,2,1,2,0,0,0,4,0,0,27,0,0,2,2,0,1,0,2,0,2,0,1,0,0,0,0,0,1,0,0,0,7,0,0,0,0
0,0,32,2,0,1,0,0,4,1,0,0,17,0,7,1,3,0,0,0,0,0,3,0,6,0,0,0,0,0,3,0,0,0,5,0,0,0,0
1,0,15,0,0,0,0,0,0,1,0,0,10,4,0,0,14,0,0,0,0,0,0,0,2,2,0,0,0,0,1,1,0,0,0,0,0,0,0
0,0,16,0,0,0,0,0,0,3,0,0,8,0,0,0,0,0,2,0,0,0,1,4,0,0,0,0,0,0,1,0,3,0,0,0,0,0,0
0,0,12,0,0,0,0,0,3,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,0,10,0,0,5,0,0,14,17,0,0,34,0,0,7,4,0,11,0,0,0,1,2,34,0,0,0,1,2,3,0,0,0,0,0,2,0,0
1,1,64,0,0,19,0,0,14,6,0,0,90,0,1,12,9,2,3,1,0,0,0,1,24,0,0,0,2,0,3,9,0,0,0,14,5,0,0
1,0,39,0,0,13,0,0,9,20,6,0,27,0,6,8,8,0,0,0,0,0,2,0,16,0,0,1,0,0,0,0,0,0,0,1,3,0,0
1,0,21,0,0,1,0,0,1,9,0,0,14,0,3,1,4,0,0,0,0,0,1,0,5,0,0,0,0,0,2,0,0,0,0,3,0,0,0
0,0,19,0,0,0,0,0,0,2,0,0,10,0,0,0,3,0,0,0,0,0,2,0,0,0,0,0,0,0,0,2,0,1,1,0,8,0,0
0,0,91,0,0,12,0,0,1,6,0,0,13,9,3,3,1,0,2,0,0,1,8,1,7,0,0,0,1,0,3,0,0,0,0,0,13,0,0
0,0,21,0,0,51,0,0,2,3,2,0,16,0,0,6,2,0,8,0,0,1,7,1,6,0,0,0,1,0,2,2,0,0,0,10,10,0,0
0,0,10,0,0,2,0,0,2,3,0,0,8,0,2,0,2,0,0,0,0,1,1,0,7,0,0,0,0,0,0,0,0,0,0,0,5,0,0
5,0,5,0,0,1,0,0,3,0,0,0,8,0,0,0,0,0,17,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
0,0,32,0,0,16,0,0,17,1,0,0,76,0,0,5,11,0,7,0,0,3,0,0,12,0,0,0,7,0,9,9,0,0,0,0,28,0,0
1,0,7,0,0,0,0,0,5,2,4,8,26,0,0,6,0,2,15,0,0,2,0,0,15,0,0,0,6,0,0,7,0,0,0,0,21,0,0
0,1,0,2,0,0,0,0,4,2,0,0,26,0,0,6,1,0,0,0,0,0,0,1,6,0,0,0,0,0,2,0,0,1,0,0,8,0,0
0,0,0,0,0,1,0,0,1,0,0,0,26,0,2,2,3,0,0,7,1,0,7,1,3,0,0,0,0,0,0,0,0,0,0,0,4,0,0
0,0,2,0,0,0,0,0,2,0,0,0,4,0,2,0,0,0,0,0,0,0,2,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
0,0,6,0,0,0,0,0,1,12,10,0,25,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0
1,0,13,0,0,0,0,0,1,22,0,0,3,0,0,2,0,0,0,0,0,0,0,0,3,0,0,0,1,0,1,0,0,1,0,0,0,0,0
0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,0,1,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,12,0,0,1,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,4,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1,1,0,0,6,0,0,0,3,1,0,3,0,2,2,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,4,0,0,2,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,0,0,0,0,0,0,0,0,4,0,0,1,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,0,0,0,0,1,0,0,0,6,0,5,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
0,0,0,0,0,4,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,0,2,0,0,15,0,0,0,1,0,2,5,2,3,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0
9,0,2,0,5,5,5,2,0,0,2,1,2,0,2,4,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
