"","Eucalyptus.sp.","A.laxifolia","A.cupressoides","D.archeri","M.tetragona","P.hookeriana","N.cunninghamii","E.serpyllifolia","R.scoparia","B.rubioides","M.dealbata","L.juniperina","O.acicularis","O.revoluta","R.sprengeloides","C.nitida","S.incarnata","T.cunninghamii","Cyathodes","L.lanigerum","L.rupestre","Andreaea.sp.","B.mossmaniana","B.pendula.affinis","B.rutabulum.paradoxum","Bryaceae","D.microcarpum","Dicranoloma.sp.","Dicranaceae","D.cylindricarpum.difficile","Fissidens.sp.","Entosthodon.sp.","Grimmiaceae","H.chrysogaster.cupressiforme","H.comosum","H.didictyon","Lembophyllaceae","Weymouthia.sp.","L.inclinans","Campylopus.sp.","T.pumilum","L.gaudichaudii","Orthotrichaceae","P.acicularis","H.alaris","R.purpurascens","R.novaehollandiae","Pyrrhobryum.sp.","B.robusta","Sphagnum.sp.","T.furfurosa","Leptoscyphus.sp."
"47",0.00757575757575758,0.0265151515151515,0.196969696969697,0,0.0378787878787879,0.00378787878787879,0.113636363636364,0.0151515151515152,0.0227272727272727,0,0,0,0.00378787878787879,0,0,0,0,0,0,0.00378787878787879,0,0.0113636363636364,0,0.0378787878787879,0,0.0189393939393939,0.053030303030303,0.0643939393939394,0,0,0.128787878787879,0,0,0.0265151515151515,0.0151515151515152,0,0.0416666666666667,0,0,0.00378787878787879,0.00757575757575758,0.106060606060606,0.0227272727272727,0.00378787878787879,0.00757575757575758,0.0113636363636364,0,0,0,0,0,0.00757575757575758
"48",0,0.0171919770773639,0.0974212034383954,0,0,0,0.0143266475644699,0.0573065902578797,0,0.00286532951289398,0,0.00286532951289398,0,0,0,0,0.00286532951289398,0,0,0,0,0.00286532951289398,0.00286532951289398,0.183381088825215,0,0.0544412607449857,0.0401146131805158,0.0171919770773639,0,0,0.257879656160458,0,0.00286532951289398,0.0343839541547278,0.0257879656160458,0.00573065902578797,0.0114613180515759,0,0,0,0.00286532951289398,0.0601719197707736,0.00859598853868195,0.00573065902578797,0,0.00859598853868195,0.0257879656160458,0,0,0,0.0401146131805158,0.0143266475644699
"49",0.0173913043478261,0,0.00869565217391304,0,0.0347826086956522,0,0.195652173913043,0.0260869565217391,0,0.00434782608695652,0,0.00869565217391304,0.00869565217391304,0,0.00434782608695652,0,0,0,0,0,0,0.00434782608695652,0,0.169565217391304,0,0.0565217391304348,0.0391304347826087,0.0869565217391304,0.0260869565217391,0,0.117391304347826,0,0.0260869565217391,0.0347826086956522,0.0347826086956522,0,0,0,0,0.00869565217391304,0,0.0608695652173913,0.00869565217391304,0,0,0,0,0,0,0,0.00434782608695652,0.0130434782608696
"50",0,0,0.310344827586207,0,0,0,0.0258620689655172,0.0689655172413793,0,0.00862068965517241,0,0,0,0.0172413793103448,0,0,0,0,0,0,0,0.00862068965517241,0,0.181034482758621,0,0.00862068965517241,0.00862068965517241,0.0775862068965517,0,0,0.120689655172414,0,0.0258620689655172,0.00862068965517241,0.0344827586206897,0,0,0,0,0.00862068965517241,0,0.0431034482758621,0,0,0,0.0172413793103448,0,0,0,0,0.0258620689655172,0
"51",0.184615384615385,0,0,0,0,0,0,0.0307692307692308,0.0307692307692308,0.0153846153846154,0,0,0,0,0,0,0,0,0,0,0,0,0,0.292307692307692,0,0,0,0.0307692307692308,0,0,0.153846153846154,0,0,0,0.0461538461538462,0,0,0,0,0.0307692307692308,0,0,0,0,0,0,0.0307692307692308,0,0.0153846153846154,0.0153846153846154,0,0.123076923076923
"52",0,0,0,0,0.00555555555555556,0,0,0.0222222222222222,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.505555555555556,0,0.0666666666666667,0.00555555555555556,0.0333333333333333,0,0,0.0722222222222222,0.05,0.0166666666666667,0.0166666666666667,0.00555555555555556,0,0.0111111111111111,0,0.00555555555555556,0.0444444444444444,0.00555555555555556,0.0388888888888889,0,0.00555555555555556,0,0.0166666666666667,0,0,0,0,0,0.0722222222222222
"53",0.0273224043715847,0,0.0382513661202186,0,0,0,0.0163934426229508,0.0491803278688525,0.0273224043715847,0,0,0,0,0,0,0,0,0.0109289617486339,0,0,0.00546448087431694,0,0,0.114754098360656,0,0.278688524590164,0.0109289617486339,0.0163934426229508,0.0109289617486339,0,0.087431693989071,0,0,0.0327868852459016,0.0109289617486339,0,0.0437158469945355,0,0.00546448087431694,0.0382513661202186,0.00546448087431694,0.0327868852459016,0,0.00546448087431694,0,0.0109289617486339,0.0109289617486339,0,0,0,0.0546448087431694,0.0546448087431694
"54",0,0,0,0,0.0350877192982456,0,0.087719298245614,0.0701754385964912,0.0175438596491228,0.0175438596491228,0,0,0,0,0,0,0,0,0,0,0.0175438596491228,0,0,0.175438596491228,0,0.0350877192982456,0.0350877192982456,0.0526315789473684,0,0,0.140350877192982,0,0.0350877192982456,0,0.0350877192982456,0,0,0,0.0175438596491228,0.0175438596491228,0,0.105263157894737,0.0175438596491228,0,0,0,0,0,0,0,0,0.087719298245614
"55",0,0,0,0,0,0,0.1,0.06,0,0,0,0,0,0,0,0,0.02,0,0,0,0,0.1,0,0.1,0,0.02,0.06,0,0,0,0.16,0,0,0,0,0,0.34,0,0,0,0,0.02,0,0.02,0,0,0,0,0,0,0,0
"56",0,0,0.0652173913043478,0.0072463768115942,0,0,0,0.0797101449275362,0,0,0,0,0,0,0,0.0036231884057971,0,0,0,0,0,0,0,0.115942028985507,0,0.0579710144927536,0.0615942028985507,0.0036231884057971,0,0,0.27536231884058,0,0,0.0181159420289855,0.0398550724637681,0,0.0253623188405797,0,0.0108695652173913,0,0,0.0398550724637681,0.0036231884057971,0.0253623188405797,0,0.0326086956521739,0.0326086956521739,0,0,0,0,0.101449275362319
